Epoch 9: pi_loss 0.4748, v_loss 0.1702
Epoch 10: pi_loss 0.4715, v_loss 0.1700
Epoch 1: pi_loss 0.7968, v_loss 0.2871
Epoch 2: pi_loss 0.6261, v_loss 0.2193
Epoch 3: pi_loss 0.5467, v_loss 0.1994
Epoch 4: pi_loss 0.5168, v_loss 0.1907
Epoch 5: pi_loss 0.5001, v_loss 0.1860
Epoch 6: pi_loss 0.4916, v_loss 0.1835
Epoch 7: pi_loss 0.4847, v_loss 0.1807
Epoch 8: pi_loss 0.4796, v_loss 0.1794
Epoch 9: pi_loss 0.4753, v_loss 0.1778
Epoch 10: pi_loss 0.4717, v_loss 0.1765
Epoch 1: pi_loss 0.8847, v_loss 0.3283
Epoch 2: pi_loss 0.6825, v_loss 0.2388
Epoch 3: pi_loss 0.5769, v_loss 0.2118
Epoch 4: pi_loss 0.5307, v_loss 0.2007
Epoch 5: pi_loss 0.5102, v_loss 0.1944
Epoch 6: pi_loss 0.4980, v_loss 0.1905
Epoch 7: pi_loss 0.4890, v_loss 0.1878
Epoch 8: pi_loss 0.4820, v_loss 0.1853
Epoch 9: pi_loss 0.4772, v_loss 0.1840
Epoch 10: pi_loss 0.4725, v_loss 0.1822
Epoch 1: pi_loss 0.5898, v_loss 0.2253
Epoch 2: pi_loss 0.5046, v_loss 0.1993
Epoch 3: pi_loss 0.4793, v_loss 0.1920
Epoch 4: pi_loss 0.4689, v_loss 0.1875
Epoch 5: pi_loss 0.4636, v_loss 0.1852
Epoch 6: pi_loss 0.4585, v_loss 0.1832
Epoch 7: pi_loss 0.4552, v_loss 0.1816
Epoch 8: pi_loss 0.4514, v_loss 0.1800
Epoch 9: pi_loss 0.4491, v_loss 0.1789
Epoch 10: pi_loss 0.4461, v_loss 0.1786
Epoch 1: pi_loss 0.6942, v_loss 0.2622
Epoch 2: pi_loss 0.5581, v_loss 0.2151
Epoch 3: pi_loss 0.5045, v_loss 0.2013
Epoch 4: pi_loss 0.4847, v_loss 0.1951
Epoch 5: pi_loss 0.4742, v_loss 0.1915
Epoch 6: pi_loss 0.4684, v_loss 0.1890
Epoch 7: pi_loss 0.4629, v_loss 0.1865
Epoch 8: pi_loss 0.4585, v_loss 0.1857
Epoch 9: pi_loss 0.4542, v_loss 0.1841
Epoch 10: pi_loss 0.4516, v_loss 0.1833
Epoch 1: pi_loss 0.7956, v_loss 0.3002
Epoch 2: pi_loss 0.6183, v_loss 0.2325
Epoch 3: pi_loss 0.5371, v_loss 0.2120
Epoch 4: pi_loss 0.5051, v_loss 0.2031
Epoch 5: pi_loss 0.4890, v_loss 0.1981
Epoch 6: pi_loss 0.4795, v_loss 0.1951
Epoch 7: pi_loss 0.4726, v_loss 0.1925
Epoch 8: pi_loss 0.4671, v_loss 0.1906
Epoch 9: pi_loss 0.4631, v_loss 0.1890
Epoch 10: pi_loss 0.4592, v_loss 0.1875
Epoch 1: pi_loss 0.8925, v_loss 0.3357
Epoch 2: pi_loss 0.6826, v_loss 0.2478
Epoch 3: pi_loss 0.5735, v_loss 0.2204
Epoch 4: pi_loss 0.5280, v_loss 0.2099
Epoch 5: pi_loss 0.5061, v_loss 0.2033
Epoch 6: pi_loss 0.4931, v_loss 0.1993
Epoch 7: pi_loss 0.4852, v_loss 0.1966
Epoch 8: pi_loss 0.4783, v_loss 0.1942
Epoch 9: pi_loss 0.4722, v_loss 0.1928
Epoch 10: pi_loss 0.4676, v_loss 0.1904
Epoch 1: pi_loss 0.5887, v_loss 0.2337
Epoch 2: pi_loss 0.5051, v_loss 0.2076
Epoch 3: pi_loss 0.4781, v_loss 0.1979
Epoch 4: pi_loss 0.4692, v_loss 0.1938
Epoch 5: pi_loss 0.4626, v_loss 0.1905
Epoch 6: pi_loss 0.4589, v_loss 0.1891
Epoch 7: pi_loss 0.4550, v_loss 0.1879
Epoch 8: pi_loss 0.4514, v_loss 0.1863
Epoch 9: pi_loss 0.4493, v_loss 0.1853
Epoch 10: pi_loss 0.4465, v_loss 0.1845
Epoch 1: pi_loss 0.6957, v_loss 0.2742
Epoch 2: pi_loss 0.5591, v_loss 0.2250
Epoch 3: pi_loss 0.5058, v_loss 0.2095
Epoch 4: pi_loss 0.4859, v_loss 0.2022
Epoch 5: pi_loss 0.4762, v_loss 0.1983
Epoch 6: pi_loss 0.4693, v_loss 0.1955
Epoch 7: pi_loss 0.4638, v_loss 0.1938
Epoch 8: pi_loss 0.4600, v_loss 0.1916
Epoch 9: pi_loss 0.4561, v_loss 0.1904
Epoch 10: pi_loss 0.4531, v_loss 0.1891
Epoch 1: pi_loss 0.7941, v_loss 0.3128
Epoch 2: pi_loss 0.6181, v_loss 0.2417
Epoch 3: pi_loss 0.5373, v_loss 0.2198
Epoch 4: pi_loss 0.5052, v_loss 0.2103
Epoch 5: pi_loss 0.4898, v_loss 0.2053
Epoch 6: pi_loss 0.4802, v_loss 0.2010
Epoch 7: pi_loss 0.4735, v_loss 0.1983
Epoch 8: pi_loss 0.4681, v_loss 0.1970
Epoch 9: pi_loss 0.4633, v_loss 0.1953
Epoch 10: pi_loss 0.4603, v_loss 0.1928
Epoch 1: pi_loss 0.8868, v_loss 0.3486
Epoch 2: pi_loss 0.6764, v_loss 0.2568
Epoch 1: pi_loss 3.9666, v_loss 1.0323
Epoch 2: pi_loss 3.6275, v_loss 0.9874
Epoch 3: pi_loss 3.1785, v_loss 0.9300
Epoch 4: pi_loss 2.8485, v_loss 0.8052
Epoch 5: pi_loss 2.6529, v_loss 0.6878
Epoch 6: pi_loss 2.5083, v_loss 0.5695
Epoch 7: pi_loss 2.3667, v_loss 0.4719
